Fecha,Incertidumbre
2022-01-01,Bueno
2022-01-02,Malo
2022-01-03,Bueno
2022-01-04,Malo
2022-01-05,Malo
2022-01-06,Bueno
2022-01-07,Bueno
2022-01-08,Malo
2022-01-09,Bueno
2022-01-10,Bueno
2022-01-11,Malo
2022-01-12,Bueno
2022-01-13,Bueno
2022-01-14,Bueno
2022-01-15,Bueno
2022-01-16,Malo
2022-01-17,Bueno
2022-01-18,Bueno
2022-01-19,Bueno
2022-01-20,Malo
2022-01-21,Malo
2022-01-22,Bueno
2022-01-23,Bueno
2022-01-24,Malo
2022-01-25,Bueno
2022-01-26,Malo
2022-01-27,Bueno
2022-01-28,Bueno
2022-01-29,Bueno
2022-01-30,Bueno
2022-01-31,Malo
2022-02-01,Malo
2022-02-02,Bueno
2022-02-03,Malo
2022-02-04,Bueno
2022-02-05,Bueno
2022-02-06,Malo
2022-02-07,Bueno
2022-02-08,Bueno
2022-02-09,Bueno
2022-02-10,Bueno
2022-02-11,Bueno
2022-02-12,Bueno
2022-02-13,Bueno
2022-02-14,Bueno
2022-02-15,Bueno
2022-02-16,Bueno
2022-02-17,Bueno
2022-02-18,Bueno
2022-02-19,Malo
2022-02-20,Bueno
2022-02-21,Bueno
2022-02-22,Malo
2022-02-23,Bueno
2022-02-24,Bueno
2022-02-25,Bueno
2022-02-26,Bueno
2022-02-27,Malo
2022-02-28,Malo
2022-03-01,Bueno
2022-03-02,Bueno
2022-03-03,Bueno
2022-03-04,Bueno
2022-03-05,Bueno
2022-03-06,Malo
2022-03-07,Bueno
2022-03-08,Malo
2022-03-09,Malo
2022-03-10,Malo
2022-03-11,Bueno
2022-03-12,Malo
2022-03-13,Bueno
2022-03-14,Malo
2022-03-15,Bueno
2022-03-16,Bueno
2022-03-17,Bueno
2022-03-18,Bueno
2022-03-19,Bueno
2022-03-20,Bueno
2022-03-21,Bueno
2022-03-22,Bueno
2022-03-23,Bueno
2022-03-24,Bueno
2022-03-25,Malo
2022-03-26,Bueno
2022-03-27,Bueno
2022-03-28,Malo
2022-03-29,Malo
2022-03-30,Malo
2022-03-31,Bueno
2022-04-01,Bueno
2022-04-02,Bueno
2022-04-03,Bueno
2022-04-04,Bueno
2022-04-05,Bueno
2022-04-06,Bueno
2022-04-07,Malo
2022-04-08,Bueno
2022-04-09,Bueno
2022-04-10,Bueno
2022-04-11,Bueno
2022-04-12,Bueno
2022-04-13,Bueno
2022-04-14,Malo
2022-04-15,Bueno
2022-04-16,Malo
2022-04-17,Malo
2022-04-18,Bueno
2022-04-19,Bueno
2022-04-20,Bueno
2022-04-21,Malo
2022-04-22,Bueno
2022-04-23,Bueno
2022-04-24,Malo
2022-04-25,Malo
2022-04-26,Bueno
2022-04-27,Bueno
2022-04-28,Malo
2022-04-29,Bueno
2022-04-30,Bueno
2022-05-01,Bueno
2022-05-02,Bueno
2022-05-03,Bueno
2022-05-04,Bueno
2022-05-05,Bueno
2022-05-06,Malo
2022-05-07,Bueno
2022-05-08,Bueno
2022-05-09,Bueno
2022-05-10,Bueno
2022-05-11,Bueno
2022-05-12,Malo
2022-05-13,Bueno
2022-05-14,Malo
2022-05-15,Bueno
2022-05-16,Bueno
2022-05-17,Malo
2022-05-18,Malo
2022-05-19,Malo
2022-05-20,Bueno
2022-05-21,Bueno
2022-05-22,Bueno
2022-05-23,Bueno
2022-05-24,Bueno
2022-05-25,Malo
2022-05-26,Bueno
2022-05-27,Bueno
2022-05-28,Bueno
2022-05-29,Bueno
2022-05-30,Malo
2022-05-31,Malo
2022-06-01,Bueno
2022-06-02,Bueno
2022-06-03,Bueno
2022-06-04,Bueno
2022-06-05,Bueno
2022-06-06,Bueno
2022-06-07,Bueno
2022-06-08,Bueno
2022-06-09,Bueno
2022-06-10,Bueno
2022-06-11,Bueno
2022-06-12,Bueno
2022-06-13,Bueno
2022-06-14,Bueno
2022-06-15,Bueno
2022-06-16,Bueno
2022-06-17,Bueno
2022-06-18,Bueno
2022-06-19,Bueno
2022-06-20,Bueno
2022-06-21,Bueno
2022-06-22,Bueno
2022-06-23,Bueno
2022-06-24,Bueno
2022-06-25,Bueno
2022-06-26,Bueno
2022-06-27,Bueno
2022-06-28,Bueno
2022-06-29,Bueno
2022-06-30,Bueno
2022-07-01,Bueno
2022-07-02,Bueno
2022-07-03,Bueno
2022-07-04,Bueno
2022-07-05,Bueno
2022-07-06,Bueno
2022-07-07,Bueno
2022-07-08,Bueno
2022-07-09,Bueno
2022-07-10,Bueno
2022-07-11,Bueno
2022-07-12,Bueno
2022-07-13,Bueno
2022-07-14,Bueno
2022-07-15,Bueno
2022-07-16,Bueno
2022-07-17,Bueno
2022-07-18,Bueno
2022-07-19,Bueno
2022-07-20,Bueno
2022-07-21,Bueno
2022-07-22,Bueno
2022-07-23,Bueno
2022-07-24,Bueno
2022-07-25,Bueno
2022-07-26,Bueno
2022-07-27,Bueno
2022-07-28,Bueno
2022-07-29,Bueno
2022-07-30,Bueno
2022-07-31,Bueno
2022-08-01,Bueno
2022-08-02,Bueno
2022-08-03,Bueno
2022-08-04,Bueno
2022-08-05,Bueno
2022-08-06,Bueno
2022-08-07,Bueno
2022-08-08,Bueno
2022-08-09,Bueno
2022-08-10,Bueno
2022-08-11,Bueno
2022-08-12,Bueno
2022-08-13,Bueno
2022-08-14,Bueno
2022-08-15,Bueno
2022-08-16,Bueno
2022-08-17,Bueno
2022-08-18,Bueno
2022-08-19,Bueno
2022-08-20,Bueno
2022-08-21,Bueno
2022-08-22,Bueno
2022-08-23,Bueno
2022-08-24,Bueno
2022-08-25,Bueno
2022-08-26,Bueno
2022-08-27,Bueno
2022-08-28,Bueno
2022-08-29,Bueno
2022-08-30,Bueno
2022-08-31,Bueno
2022-09-01,Bueno
2022-09-02,Bueno
2022-09-03,Malo
2022-09-04,Bueno
2022-09-05,Malo
2022-09-06,Malo
2022-09-07,Malo
2022-09-08,Bueno
2022-09-09,Bueno
2022-09-10,Bueno
2022-09-11,Bueno
2022-09-12,Bueno
2022-09-13,Malo
2022-09-14,Bueno
2022-09-15,Bueno
2022-09-16,Bueno
2022-09-17,Malo
2022-09-18,Malo
2022-09-19,Malo
2022-09-20,Bueno
2022-09-21,Malo
2022-09-22,Bueno
2022-09-23,Bueno
2022-09-24,Bueno
2022-09-25,Bueno
2022-09-26,Bueno
2022-09-27,Bueno
2022-09-28,Malo
2022-09-29,Bueno
2022-09-30,Bueno
2022-10-01,Bueno
2022-10-02,Malo
2022-10-03,Malo
2022-10-04,Malo
2022-10-05,Bueno
2022-10-06,Bueno
2022-10-07,Bueno
2022-10-08,Malo
2022-10-09,Bueno
2022-10-10,Bueno
2022-10-11,Bueno
2022-10-12,Bueno
2022-10-13,Bueno
2022-10-14,Bueno
2022-10-15,Bueno
2022-10-16,Bueno
2022-10-17,Bueno
2022-10-18,Bueno
2022-10-19,Bueno
2022-10-20,Bueno
2022-10-21,Malo
2022-10-22,Malo
2022-10-23,Malo
2022-10-24,Malo
2022-10-25,Bueno
2022-10-26,Bueno
2022-10-27,Malo
2022-10-28,Malo
2022-10-29,Bueno
2022-10-30,Malo
2022-10-31,Malo
2022-11-01,Bueno
2022-11-02,Bueno
2022-11-03,Bueno
2022-11-04,Bueno
2022-11-05,Bueno
2022-11-06,Bueno
2022-11-07,Bueno
2022-11-08,Bueno
2022-11-09,Malo
2022-11-10,Bueno
2022-11-11,Bueno
2022-11-12,Malo
2022-11-13,Malo
2022-11-14,Bueno
2022-11-15,Bueno
2022-11-16,Malo
2022-11-17,Malo
2022-11-18,Bueno
2022-11-19,Bueno
2022-11-20,Malo
2022-11-21,Bueno
2022-11-22,Bueno
2022-11-23,Malo
2022-11-24,Bueno
2022-11-25,Bueno
2022-11-26,Malo
2022-11-27,Bueno
2022-11-28,Bueno
2022-11-29,Malo
2022-11-30,Malo
2022-12-01,Bueno
2022-12-02,Bueno
2022-12-03,Bueno
2022-12-04,Bueno
2022-12-05,Bueno
2022-12-06,Malo
2022-12-07,Bueno
2022-12-08,Bueno
2022-12-09,Bueno
2022-12-10,Bueno
2022-12-11,Bueno
2022-12-12,Bueno
2022-12-13,Malo
2022-12-14,Bueno
2022-12-15,Bueno
2022-12-16,Bueno
2022-12-17,Bueno
2022-12-18,Malo
2022-12-19,Bueno
2022-12-20,Bueno
2022-12-21,Bueno
2022-12-22,Malo
2022-12-23,Bueno
2022-12-24,Bueno
2022-12-25,Bueno
2022-12-26,Malo
2022-12-27,Bueno
2022-12-28,Bueno
2022-12-29,Malo
2022-12-30,Bueno
2022-12-31,Bueno
2023-01-01,Malo
2023-01-02,Bueno
2023-01-03,Bueno
2023-01-04,Bueno
2023-01-05,Bueno
2023-01-06,Bueno
2023-01-07,Bueno
2023-01-08,Malo
2023-01-09,Bueno
2023-01-10,Bueno
2023-01-11,Malo
2023-01-12,Malo
2023-01-13,Bueno
2023-01-14,Bueno
2023-01-15,Malo
2023-01-16,Bueno
2023-01-17,Malo
2023-01-18,Bueno
2023-01-19,Malo
2023-01-20,Bueno
2023-01-21,Malo
2023-01-22,Bueno
2023-01-23,Bueno
2023-01-24,Bueno
2023-01-25,Bueno
2023-01-26,Malo
2023-01-27,Bueno
2023-01-28,Malo
2023-01-29,Malo
2023-01-30,Bueno
2023-01-31,Bueno
2023-02-01,Bueno
2023-02-02,Bueno
2023-02-03,Bueno
2023-02-04,Malo
2023-02-05,Malo
2023-02-06,Bueno
2023-02-07,Malo
2023-02-08,Bueno
2023-02-09,Bueno
2023-02-10,Bueno
2023-02-11,Malo
2023-02-12,Bueno
2023-02-13,Bueno
2023-02-14,Bueno
2023-02-15,Bueno
2023-02-16,Malo
2023-02-17,Bueno
2023-02-18,Bueno
2023-02-19,Bueno
2023-02-20,Bueno
2023-02-21,Malo
2023-02-22,Bueno
2023-02-23,Bueno
2023-02-24,Bueno
2023-02-25,Bueno
2023-02-26,Bueno
2023-02-27,Bueno
2023-02-28,Bueno
2023-03-01,Bueno
2023-03-02,Bueno
2023-03-03,Bueno
2023-03-04,Bueno
2023-03-05,Bueno
2023-03-06,Bueno
2023-03-07,Bueno
2023-03-08,Bueno
2023-03-09,Bueno
2023-03-10,Bueno
2023-03-11,Bueno
2023-03-12,Bueno
2023-03-13,Bueno
2023-03-14,Bueno
2023-03-15,Bueno
2023-03-16,Bueno
2023-03-17,Bueno
2023-03-18,Bueno
2023-03-19,Bueno
2023-03-20,Bueno
2023-03-21,Bueno
2023-03-22,Bueno
2023-03-23,Bueno
2023-03-24,Bueno
2023-03-25,Bueno
2023-03-26,Bueno
2023-03-27,Bueno
2023-03-28,Bueno
2023-03-29,Bueno
2023-03-30,Bueno
2023-03-31,Bueno
2023-04-01,Bueno
2023-04-02,Bueno
2023-04-03,Bueno
2023-04-04,Bueno
2023-04-05,Bueno
2023-04-06,Bueno
2023-04-07,Bueno
2023-04-08,Bueno
2023-04-09,Bueno
2023-04-10,Bueno
2023-04-11,Bueno
2023-04-12,Bueno
2023-04-13,Bueno
2023-04-14,Bueno
2023-04-15,Bueno
2023-04-16,Bueno
2023-04-17,Bueno
2023-04-18,Bueno
2023-04-19,Bueno
2023-04-20,Bueno
2023-04-21,Bueno
2023-04-22,Bueno
2023-04-23,Bueno
2023-04-24,Bueno
2023-04-25,Bueno
2023-04-26,Bueno
2023-04-27,Bueno
2023-04-28,Bueno
2023-04-29,Bueno
2023-04-30,Bueno
2023-05-01,Bueno
2023-05-02,Bueno
2023-05-03,Bueno
2023-05-04,Bueno
2023-05-05,Bueno
2023-05-06,Bueno
2023-05-07,Bueno
2023-05-08,Bueno
2023-05-09,Bueno
2023-05-10,Bueno
2023-05-11,Bueno
2023-05-12,Bueno
2023-05-13,Bueno
2023-05-14,Bueno
2023-05-15,Bueno
2023-05-16,Bueno
2023-05-17,Bueno
2023-05-18,Bueno
2023-05-19,Bueno
2023-05-20,Bueno
2023-05-21,Bueno
2023-05-22,Bueno
2023-05-23,Bueno
2023-05-24,Bueno
2023-05-25,Bueno
2023-05-26,Bueno
2023-05-27,Bueno
2023-05-28,Bueno
2023-05-29,Bueno
2023-05-30,Bueno
2023-05-31,Bueno
2023-06-01,Bueno
2023-06-02,Malo
2023-06-03,Bueno
2023-06-04,Malo
2023-06-05,Bueno
2023-06-06,Bueno
2023-06-07,Bueno
2023-06-08,Bueno
2023-06-09,Bueno
2023-06-10,Bueno
2023-06-11,Malo
2023-06-12,Bueno
2023-06-13,Malo
2023-06-14,Bueno
2023-06-15,Malo
2023-06-16,Bueno
2023-06-17,Bueno
2023-06-18,Malo
2023-06-19,Bueno
2023-06-20,Malo
2023-06-21,Bueno
2023-06-22,Malo
2023-06-23,Bueno
2023-06-24,Bueno
2023-06-25,Malo
2023-06-26,Bueno
2023-06-27,Malo
2023-06-28,Bueno
2023-06-29,Malo
2023-06-30,Malo
2023-07-01,Bueno
2023-07-02,Malo
2023-07-03,Malo
2023-07-04,Bueno
2023-07-05,Bueno
2023-07-06,Bueno
2023-07-07,Bueno
2023-07-08,Malo
2023-07-09,Bueno
2023-07-10,Bueno
2023-07-11,Bueno
2023-07-12,Bueno
2023-07-13,Bueno
2023-07-14,Bueno
2023-07-15,Bueno
2023-07-16,Malo
2023-07-17,Malo
2023-07-18,Bueno
2023-07-19,Bueno
2023-07-20,Bueno
2023-07-21,Bueno
2023-07-22,Malo
2023-07-23,Bueno
2023-07-24,Malo
2023-07-25,Bueno
2023-07-26,Malo
2023-07-27,Bueno
2023-07-28,Bueno
2023-07-29,Malo
2023-07-30,Malo
2023-07-31,Bueno
2023-08-01,Bueno
2023-08-02,Bueno
2023-08-03,Bueno
2023-08-04,Malo
2023-08-05,Malo
2023-08-06,Malo
2023-08-07,Bueno
2023-08-08,Malo
2023-08-09,Bueno
2023-08-10,Bueno
2023-08-11,Bueno
2023-08-12,Malo
2023-08-13,Bueno
2023-08-14,Bueno
2023-08-15,Bueno
2023-08-16,Malo
2023-08-17,Bueno
2023-08-18,Bueno
2023-08-19,Malo
2023-08-20,Bueno
2023-08-21,Bueno
2023-08-22,Malo
2023-08-23,Bueno
2023-08-24,Bueno
2023-08-25,Bueno
2023-08-26,Bueno
2023-08-27,Bueno
2023-08-28,Bueno
2023-08-29,Malo
2023-08-30,Bueno
2023-08-31,Malo
2023-09-01,Bueno
2023-09-02,Bueno
2023-09-03,Bueno
2023-09-04,Bueno
2023-09-05,Bueno
2023-09-06,Malo
2023-09-07,Bueno
2023-09-08,Malo
2023-09-09,Malo
2023-09-10,Malo
2023-09-11,Malo
2023-09-12,Bueno
2023-09-13,Malo
2023-09-14,Malo
2023-09-15,Malo
2023-09-16,Bueno
2023-09-17,Bueno
2023-09-18,Bueno
2023-09-19,Bueno
2023-09-20,Malo
2023-09-21,Bueno
2023-09-22,Bueno
2023-09-23,Malo
2023-09-24,Malo
2023-09-25,Bueno
2023-09-26,Malo
2023-09-27,Bueno
2023-09-28,Bueno
2023-09-29,Malo
2023-09-30,Malo
2023-10-01,Malo
2023-10-02,Bueno
2023-10-03,Bueno
2023-10-04,Malo
2023-10-05,Malo
2023-10-06,Bueno
2023-10-07,Bueno
2023-10-08,Bueno
2023-10-09,Malo
2023-10-10,Bueno
2023-10-11,Bueno
2023-10-12,Bueno
2023-10-13,Malo
2023-10-14,Malo
2023-10-15,Bueno
2023-10-16,Bueno
2023-10-17,Malo
2023-10-18,Malo
2023-10-19,Malo
2023-10-20,Bueno
2023-10-21,Bueno
2023-10-22,Bueno
2023-10-23,Malo
2023-10-24,Malo
2023-10-25,Bueno
2023-10-26,Malo
2023-10-27,Bueno
2023-10-28,Bueno
2023-10-29,Malo
2023-10-30,Bueno
2023-10-31,Bueno
2023-11-01,Bueno
2023-11-02,Bueno
2023-11-03,Bueno
2023-11-04,Bueno
2023-11-05,Bueno
2023-11-06,Bueno
2023-11-07,Bueno
2023-11-08,Malo
2023-11-09,Bueno
2023-11-10,Bueno
2023-11-11,Bueno
2023-11-12,Malo
2023-11-13,Malo
2023-11-14,Malo
2023-11-15,Malo
2023-11-16,Malo
2023-11-17,Bueno
2023-11-18,Bueno
2023-11-19,Bueno
2023-11-20,Bueno
2023-11-21,Bueno
2023-11-22,Bueno
2023-11-23,Bueno
2023-11-24,Bueno
2023-11-25,Bueno
2023-11-26,Bueno
2023-11-27,Bueno
2023-11-28,Bueno
2023-11-29,Bueno
2023-11-30,Bueno
2023-12-01,Bueno
2023-12-02,Malo
2023-12-03,Bueno
2023-12-04,Bueno
2023-12-05,Malo
2023-12-06,Bueno
2023-12-07,Bueno
2023-12-08,Bueno
2023-12-09,Bueno
2023-12-10,Bueno
2023-12-11,Bueno
2023-12-12,Bueno
2023-12-13,Bueno
2023-12-14,Bueno
2023-12-15,Malo
2023-12-16,Bueno
2023-12-17,Bueno
2023-12-18,Bueno
2023-12-19,Bueno
2023-12-20,Malo
2023-12-21,Bueno
2023-12-22,Bueno
2023-12-23,Malo
2023-12-24,Malo
2023-12-25,Malo
2023-12-26,Bueno
2023-12-27,Malo
2023-12-28,Malo
2023-12-29,Bueno
2023-12-30,Malo
2023-12-31,Bueno
2024-01-01,Malo
2024-01-02,Malo
2024-01-03,Malo
2024-01-04,Malo
2024-01-05,Malo
2024-01-06,Malo
2024-01-07,Malo
2024-01-08,Malo
2024-01-09,Malo
2024-01-10,Malo
2024-01-11,Malo
2024-01-12,Malo
2024-01-13,Malo
2024-01-14,Malo
2024-01-15,Malo
2024-01-16,Malo
2024-01-17,Malo
2024-01-18,Malo
2024-01-19,Malo
2024-01-20,Malo
2024-01-21,Malo
2024-01-22,Malo
2024-01-23,Malo
2024-01-24,Malo
2024-01-25,Malo
2024-01-26,Malo
2024-01-27,Malo
2024-01-28,Malo
2024-01-29,Malo
2024-01-30,Malo
2024-01-31,Malo
2024-02-01,Malo
2024-02-02,Malo
2024-02-03,Malo
2024-02-04,Malo
2024-02-05,Malo
2024-02-06,Malo
2024-02-07,Malo
2024-02-08,Malo
2024-02-09,Malo
2024-02-10,Malo
2024-02-11,Malo
2024-02-12,Malo
2024-02-13,Malo
2024-02-14,Malo
2024-02-15,Malo
2024-02-16,Malo
2024-02-17,Malo
2024-02-18,Malo
2024-02-19,Malo
2024-02-20,Malo
2024-02-21,Malo
2024-02-22,Malo
2024-02-23,Malo
2024-02-24,Malo
2024-02-25,Malo
2024-02-26,Malo
2024-02-27,Malo
2024-02-28,Malo
2024-02-29,Malo
2024-03-01,Malo
2024-03-02,Malo
2024-03-03,Malo
2024-03-04,Malo
2024-03-05,Malo
2024-03-06,Malo
2024-03-07,Malo
2024-03-08,Malo
2024-03-09,Malo
2024-03-10,Malo
2024-03-11,Malo
2024-03-12,Malo
2024-03-13,Malo
2024-03-14,Malo
2024-03-15,Malo
2024-03-16,Malo
2024-03-17,Malo
2024-03-18,Malo
2024-03-19,Malo
2024-03-20,Malo
2024-03-21,Malo
2024-03-22,Malo
2024-03-23,Malo
2024-03-24,Malo
2024-03-25,Malo
2024-03-26,Malo
2024-03-27,Malo
2024-03-28,Malo
2024-03-29,Malo
2024-03-30,Malo
2024-03-31,Malo
2024-04-01,Bueno
2024-04-02,Bueno
2024-04-03,Malo
2024-04-04,Malo
2024-04-05,Bueno
2024-04-06,Bueno
2024-04-07,Bueno
2024-04-08,Bueno
2024-04-09,Malo
2024-04-10,Bueno
2024-04-11,Malo
2024-04-12,Bueno
2024-04-13,Malo
2024-04-14,Bueno
2024-04-15,Bueno
2024-04-16,Malo
2024-04-17,Bueno
2024-04-18,Bueno
2024-04-19,Bueno
2024-04-20,Malo
2024-04-21,Malo
2024-04-22,Bueno
2024-04-23,Bueno
2024-04-24,Bueno
2024-04-25,Bueno
2024-04-26,Malo
2024-04-27,Bueno
2024-04-28,Bueno
2024-04-29,Bueno
2024-04-30,Bueno
2024-05-01,Malo
2024-05-02,Malo
2024-05-03,Malo
2024-05-04,Bueno
2024-05-05,Bueno
2024-05-06,Malo
2024-05-07,Bueno
2024-05-08,Bueno
2024-05-09,Malo
2024-05-10,Bueno
2024-05-11,Bueno
2024-05-12,Bueno
2024-05-13,Bueno
2024-05-14,Bueno
2024-05-15,Bueno
2024-05-16,Bueno
2024-05-17,Bueno
2024-05-18,Bueno
2024-05-19,Bueno
2024-05-20,Bueno
2024-05-21,Bueno
2024-05-22,Malo
2024-05-23,Bueno
2024-05-24,Malo
2024-05-25,Bueno
2024-05-26,Bueno
2024-05-27,Bueno
2024-05-28,Malo
2024-05-29,Bueno
2024-05-30,Bueno
2024-05-31,Malo
2024-06-01,Bueno
2024-06-02,Bueno
2024-06-03,Malo
2024-06-04,Malo
2024-06-05,Bueno
2024-06-06,Bueno
2024-06-07,Bueno
2024-06-08,Bueno
2024-06-09,Bueno
2024-06-10,Malo
2024-06-11,Bueno
2024-06-12,Bueno
2024-06-13,Malo
2024-06-14,Malo
2024-06-15,Bueno
2024-06-16,Bueno
2024-06-17,Bueno
2024-06-18,Malo
2024-06-19,Malo
2024-06-20,Bueno
2024-06-21,Malo
2024-06-22,Bueno
2024-06-23,Bueno
2024-06-24,Bueno
2024-06-25,Malo
2024-06-26,Malo
2024-06-27,Malo
2024-06-28,Bueno
2024-06-29,Bueno
2024-06-30,Bueno
2024-07-01,Malo
2024-07-02,Bueno
2024-07-03,Bueno
2024-07-04,Malo
2024-07-05,Bueno
2024-07-06,Bueno
2024-07-07,Bueno
2024-07-08,Bueno
2024-07-09,Malo
2024-07-10,Bueno
2024-07-11,Bueno
2024-07-12,Malo
2024-07-13,Bueno
2024-07-14,Bueno
2024-07-15,Bueno
2024-07-16,Bueno
2024-07-17,Bueno
2024-07-18,Malo
2024-07-19,Malo
2024-07-20,Bueno
2024-07-21,Malo
2024-07-22,Bueno
2024-07-23,Malo
2024-07-24,Bueno
2024-07-25,Bueno
2024-07-26,Malo
2024-07-27,Malo
2024-07-28,Bueno
2024-07-29,Malo
2024-07-30,Bueno
2024-07-31,Bueno
2024-08-01,Bueno
2024-08-02,Bueno
2024-08-03,Bueno
2024-08-04,Bueno
2024-08-05,Bueno
2024-08-06,Bueno
2024-08-07,Bueno
2024-08-08,Bueno
2024-08-09,Bueno
2024-08-10,Malo
2024-08-11,Bueno
2024-08-12,Bueno
2024-08-13,Malo
2024-08-14,Bueno
2024-08-15,Bueno
2024-08-16,Bueno
2024-08-17,Bueno
2024-08-18,Bueno
2024-08-19,Bueno
2024-08-20,Bueno
2024-08-21,Bueno
2024-08-22,Malo
2024-08-23,Bueno
2024-08-24,Bueno
2024-08-25,Bueno
2024-08-26,Malo
2024-08-27,Bueno
2024-08-28,Malo
2024-08-29,Bueno
2024-08-30,Malo
2024-08-31,Bueno
2024-09-01,Bueno
2024-09-02,Bueno
2024-09-03,Malo
2024-09-04,Bueno
2024-09-05,Bueno
2024-09-06,Bueno
2024-09-07,Bueno
2024-09-08,Malo
2024-09-09,Malo
2024-09-10,Bueno
2024-09-11,Malo
2024-09-12,Malo
2024-09-13,Bueno
2024-09-14,Bueno
2024-09-15,Bueno
2024-09-16,Bueno
2024-09-17,Bueno
2024-09-18,Bueno
2024-09-19,Bueno
2024-09-20,Bueno
2024-09-21,Bueno
2024-09-22,Malo
2024-09-23,Bueno
2024-09-24,Bueno
2024-09-25,Malo
2024-09-26,Bueno
2024-09-27,Bueno
2024-09-28,Bueno
2024-09-29,Bueno
2024-09-30,Malo
2024-10-01,Malo
2024-10-02,Bueno
2024-10-03,Malo
2024-10-04,Bueno
2024-10-05,Bueno
2024-10-06,Bueno
2024-10-07,Bueno
2024-10-08,Bueno
2024-10-09,Bueno
2024-10-10,Bueno
2024-10-11,Bueno
2024-10-12,Malo
2024-10-13,Bueno
2024-10-14,Bueno
2024-10-15,Bueno
2024-10-16,Bueno
2024-10-17,Bueno
2024-10-18,Malo
2024-10-19,Bueno
2024-10-20,Bueno
2024-10-21,Malo
2024-10-22,Bueno
2024-10-23,Bueno
2024-10-24,Bueno
2024-10-25,Bueno
2024-10-26,Bueno
2024-10-27,Bueno
2024-10-28,Bueno
2024-10-29,Bueno
2024-10-30,Bueno
2024-10-31,Bueno
2024-11-01,Bueno
2024-11-02,Bueno
2024-11-03,Bueno
2024-11-04,Bueno
2024-11-05,Bueno
2024-11-06,Malo
2024-11-07,Malo
2024-11-08,Bueno
2024-11-09,Bueno
2024-11-10,Bueno
2024-11-11,Bueno
2024-11-12,Bueno
2024-11-13,Bueno
2024-11-14,Malo
2024-11-15,Malo
2024-11-16,Malo
2024-11-17,Malo
2024-11-18,Malo
2024-11-19,Bueno
2024-11-20,Bueno
2024-11-21,Bueno
2024-11-22,Bueno
2024-11-23,Bueno
2024-11-24,Bueno
2024-11-25,Malo
2024-11-26,Malo
2024-11-27,Bueno
2024-11-28,Bueno
2024-11-29,Bueno
2024-11-30,Bueno
2024-12-01,Malo
2024-12-02,Bueno
2024-12-03,Bueno
2024-12-04,Malo
2024-12-05,Bueno
2024-12-06,Malo
2024-12-07,Malo
2024-12-08,Malo
2024-12-09,Malo
2024-12-10,Bueno
2024-12-11,Bueno
2024-12-12,Bueno
2024-12-13,Bueno
2024-12-14,Bueno
2024-12-15,Bueno
2024-12-16,Bueno
2024-12-17,Bueno
2024-12-18,Bueno
2024-12-19,Bueno
2024-12-20,Malo
2024-12-21,Bueno
2024-12-22,Bueno
2024-12-23,Bueno
2024-12-24,Malo
2024-12-25,Bueno
2024-12-26,Malo
2024-12-27,Bueno
2024-12-28,Bueno
2024-12-29,Bueno
2024-12-30,Malo
2024-12-31,Malo
